FF SN,SF SN,lv-R,lv-G,lv-B,lv-W,mix_W_2000_r_ratio_current,mix_W_2000_g_ratio_current,mix_W_2000_b_ratio_current,w_4000_current
4Q3XF2JJ0100HX,4Q0YM76J0Q00FD,203.7,366.1,143.6,266.7,2100.0,300.0,500.0,3900.0
4Q3XF2JJ0100JP,4Q0YM76J0Q00F3,202.6,387.9,162.3,276.5,2300.0,600.0,600.0,4000.0
4Q3XF2JJ010015,4Q0YM76J0N0041,31.9,310.1,152.2,136.3,2000.0,400.0,600.0,4900.0
4Q3XF2JJ0100HC,4Q0YM76J0Q00FJ,228.5,403.7,166.9,287.6,2000.0,500.0,500.0,4000.0
4Q3XF2JJ010075,4Q0YM76J0N00BF,240.8,420.7,183.3,286.6,1800.0,300.0,500.0,4800.0
4Q3XF2JJ00005N,4Q0YM76J0Q0003,32.2,262.1,133.5,115.2,2400.0,600.0,600.0,6000.0
4Q3XF2JJ02001C,4Q0YM76J0Q00DC,221.2,382.4,170.1,259.3,2100.0,400.0,500.0,5300.0
4Q3XF2JJ000061,4Q0YM76J0Q00GB,244.3,431.2,191.7,304.0,2400.0,600.0,600.0,4000.0
4Q3XF2JJ01009Y,4Q0YM76J0Q0055,223.2,389.2,148.8,307.0,2100.0,700.0,600.0,4400.0
4Q3XF2JJ00000Y,4Q0YM76J0Q0018,44.5,371.7,158.3,176.9,2100.0,300.0,500.0,4400.0
4Q3XF2JJ01006K,4Q0YM76J0Q0039,195.0,371.7,161.2,265.1,2300.0,300.0,500.0,6000.0
4Q3XF2JJ0100H1,4Q0YM76J0N0042,218.9,386.2,156.6,288.6,2000.0,400.0,600.0,5300.0
4Q3XF2JJ01006M,4Q0YM76J0Q007C,233.0,399.2,168.0,291.9,2100.0,600.0,600.0,4400.0
4Q3XF2JJ01007K,4Q0YM76J0Q005K,218.9,376.5,161.7,298.7,2100.0,500.0,600.0,4400.0
4Q3XF2JJ01005J,4Q0YM76J0Q00HB,226.2,374.3,161.7,280.8,2100.0,600.0,600.0,4400.0
4Q3XF2JJ000045,4Q0YM76J0Q00C7,55.3,331.0,158.3,154.2,2100.0,500.0,600.0,4400.0
4Q3XF2JJ0100CH,4Q0YM76J0Q00DL,196.4,349.1,149.3,246.2,2100.0,300.0,500.0,5000.0
4Q3XF2JJ010067,4Q0YM76J0Q00HN,184.8,358.7,148.8,260.7,2300.0,600.0,700.0,5600.0
4Q3XF2JJ0100DH,4Q0YM76J0Q0079,204.0,375.7,158.3,289.8,2500.0,700.0,700.0,5500.0
4Q3XF2JHCY004X,4Q0YM76J0Q0026,37.2,359.6,176.4,166.8,2400.0,600.0,600.0,4400.0
4Q3XF2JHCZ0020,4Q0YM76J0Q007R,93.8,348.5,164.6,164.1,2100.0,500.0,600.0,4800.0
4Q3XF2JJ00000C,4Q0YM76J0Q00BH,40.9,301.0,142.5,138.8,1900.0,300.0,500.0,4700.0
4Q3XF2JJ010073,4Q0YM76J0Q00BK,215.0,402.6,174.2,329.9,1900.0,300.0,500.0,4700.0
4Q3XF2JJ02001S,4Q0YM76J0Q00H4,243.1,437.7,178.7,307.7,2200.0,600.0,600.0,4100.0
4Q3XF2JJ0100J0,4Q0YM76J0Q00CL,266.3,451.9,193.4,396.5,1800.0,300.0,400.0,3300.0
4Q3XF2JJ01000H,4Q0YM76J0Q00BN,240.6,402.9,170.1,291.7,2100.0,500.0,600.0,4800.0
4Q3XF2JJ0100BP,4Q0YM76J0N0040,218.1,385.0,155.4,301.9,2000.0,400.0,600.0,4900.0
4Q3XF2JJ010053,4Q0YM76J0Q00HM,240.0,406.8,179.3,294.9,2100.0,500.0,600.0,4800.0
4Q3XF2JHCY006D,4Q0YM76J0Q006H,37.5,327.8,160.6,172.4,2100.0,500.0,500.0,4400.0
4Q3XF2JJ00000M,4Q0YM76J0Q00BD,268.2,426.9,180.5,262.2,1700.0,300.0,500.0,4700.0
4Q3XF2JJ00004F,4Q0YM76J0Q007L,131.3,309.8,140.4,173.1,2100.0,600.0,600.0,5900.0
4Q3XF2JJ01008M,4Q0YM76J0Q00B6,214.7,354.1,161.2,252.3,1700.0,300.0,500.0,4200.0
4Q3XF2JJ0100J9,4Q0YM76J0Q004G,221.2,383.3,170.1,260.7,2100.0,500.0,600.0,4400.0
4Q3XF2JJ0100GV,4Q0YM76J0N0091,238.4,386.2,174.2,250.8,2100.0,300.0,500.0,4900.0
4Q3XF2JJ0100B7,4Q0YM76J0Q008J,212.4,381.1,172.4,269.9,2100.0,500.0,600.0,4400.0
4Q3XF2JJ01002S,4Q0YM76J0Q006K,232.2,406.8,168.0,296.3,2100.0,500.0,600.0,4400.0
4Q3XF2JHCY003S,4Q0YM76J0Q00CJ,38.9,376.5,176.4,161.0,2100.0,300.0,500.0,4400.0
4Q3XF2JJ02000H,4Q0YM76J0Q001D,214.4,365.5,151.6,257.3,2400.0,700.0,600.0,5700.0
4Q3XF2JJ010038,4Q0YM76J0Q0051,224.0,399.5,164.0,290.9,2100.0,600.0,600.0,4400.0
4Q3XF2JJ02001K,4Q0YM76J0Q008Q,239.2,417.5,171.3,292.4,2100.0,500.0,600.0,4400.0
4Q3XF2JJ01004N,4Q0YM76J0N004H,30.2,280.9,145.3,138.0,2000.0,400.0,600.0,4900.0
4Q3XF2JJ0100DC,4Q0YM76J0Q0047,233.0,406.3,183.3,284.9,2100.0,500.0,600.0,4400.0
4Q3XF2JJ00001P,4Q0YM76J0Q001Q,33.0,325.1,164.0,140.2,2400.0,600.0,600.0,4700.0
4Q3XF2JJ000020,4Q0YM76J0N009X,61.2,342.6,168.0,153.7,2000.0,400.0,600.0,4900.0
4Q3XF2JJ00005H,4Q0YM76J0Q007N,235.0,412.8,173.0,293.9,2100.0,500.0,600.0,4400.0
4Q3XF2JJ0100DX,4Q0YM76J0Q0089,235.8,406.0,170.7,277.9,2100.0,500.0,600.0,4400.0
4Q3XF2JJ00006H,4Q0YM76J0Q009C,49.3,321.3,151.0,145.7,2100.0,500.0,600.0,5300.0
4Q3XF2JJ00005C,4Q0YM76J0Q009S,78.6,369.2,166.9,170.7,1900.0,300.0,500.0,4700.0
4Q3XF2JJ0100DJ,4Q0YM76J0Q004L,245.1,415.1,174.7,297.2,1900.0,300.0,500.0,5100.0
4Q3XF2JJ00003J,4Q0YM76J0Q004D,48.5,341.1,169.2,171.9,1900.0,300.0,500.0,5200.0
4Q3XF2JJ00003G,4Q0YM76J0Q003G,208.8,378.5,160.0,272.3,2100.0,300.0,500.0,4400.0
4Q3XF2JJ00003S,4Q0YM76J0Q004F,243.4,460.6,187.1,317.1,1900.0,300.0,500.0,4300.0
4Q3XF2JJ00005Q,4Q0YM76J0Q00BJ,111.6,351.1,169.6,162.5,1900.0,300.0,500.0,4400.0
4Q3XF2JJ0100HD,4Q0YM76J0Q005H,265.7,444.8,199.5,329.2,1900.0,300.0,500.0,4700.0
4Q3XF2JHCZ0025,4Q0YM76J0Q003P,176.6,342.9,151.6,207.0,2100.0,500.0,600.0,4900.0
4Q3XF2JJ010043,4Q0YM76J0Q004X,238.4,399.5,160.0,263.4,2100.0,500.0,600.0,4400.0
4Q3XF2JJ00002M,4Q0YM76J0Q00CS,241.7,412.2,177.6,284.2,2100.0,300.0,500.0,4800.0
4Q3XF2JJ0100C6,4Q0YM76J0N009W,237.2,410.3,163.5,347.8,1800.0,300.0,500.0,4400.0
4Q3XF2JJ0100JM,4Q0YM76J0Q0074,203.7,371.7,150.5,279.6,2300.0,700.0,700.0,5900.0
4Q3XF2JHCY0059,4Q0YM76J0Q008R,56.3,310.3,138.6,141.9,2100.0,500.0,600.0,4800.0
4Q3XF2JJ010072,4Q0YM76J0Q0095,215.5,385.3,154.5,285.9,1900.0,300.0,600.0,5100.0
4Q3XF2JJ0100B2,4Q0YM76J0Q006R,218.6,376.8,157.7,284.2,2100.0,600.0,600.0,5500.0
4Q3XF2JJ00002C,4Q0YM76J0Q002C,34.4,323.1,149.3,150.1,2100.0,300.0,500.0,4400.0
4Q3XF2JJ01004Y,4Q0YM76J0Q0023,222.9,396.9,160.6,300.9,2100.0,300.0,500.0,4400.0
4Q3XF2JJ010008,4Q0YM76J0Q00C5,209.1,390.1,174.7,261.4,2100.0,300.0,500.0,4400.0
4Q3XF2JJ00005J,4Q0YM76J0Q003D,231.9,379.1,164.0,260.2,2100.0,300.0,500.0,4900.0
4Q3XF2JJ000006,4Q0YM76J0Q003S,189.9,354.7,150.5,237.7,2100.0,300.0,500.0,4800.0
4Q3XF2JHCZ001G,4Q0YM76J0Q00CM,52.7,358.7,179.3,161.2,2400.0,600.0,500.0,4100.0
4Q3XF2JJ000088,4Q0YM76J0Q006S,228.2,401.8,174.7,285.9,2100.0,500.0,600.0,4400.0
4Q3XF2JJ010010,4Q0YM76J0Q0022,203.7,376.2,157.2,266.2,2100.0,500.0,600.0,4800.0
4Q3XF2JJ000081,4Q0YM76J0Q0071,217.8,397.5,165.2,379.8,2100.0,500.0,600.0,4400.0
4Q3XF2JJ0100FQ,4Q0YM76J0Q007K,241.4,430.1,200.1,315.4,1900.0,400.0,500.0,4400.0
4Q3XF2JJ01001G,4Q0YM76J0Q002K,213.8,399.5,155.1,294.6,2400.0,600.0,600.0,5000.0
4Q3XF2JJ010025,4Q0YM76J0Q009X,205.4,388.5,157.2,297.2,2100.0,300.0,500.0,4400.0
4Q3XF2JJ01001F,4Q0YM76J0Q000S,235.8,416.2,173.6,270.4,2100.0,300.0,500.0,4800.0
4Q3XF2JJ020001,4Q0YM76J0Q00D0,235.0,409.1,170.1,287.3,2100.0,300.0,500.0,4400.0
4Q3XF2JJ0100CC,4Q0YM76J0Q0078,233.5,418.1,187.1,298.9,1900.0,300.0,500.0,4700.0
4Q3XF2JJ01001D,4Q0YM76J0Q007Q,229.1,424.1,181.6,339.8,2100.0,500.0,500.0,4400.0
4Q3XF2JJ00008B,4Q0YM76J0Q007S,227.9,415.1,173.0,292.7,2100.0,500.0,600.0,4800.0
4Q3XF2JJ01003M,4Q0YM76J0Q003K,206.5,403.7,170.1,291.2,2100.0,300.0,500.0,4400.0
4Q3XF2JJ000060,4Q0YM76J0Q00GS,49.9,327.0,157.7,150.1,2400.0,600.0,600.0,5800.0
4Q3XF2JJ0100G6,4Q0YM76J0Q00G6,205.6,380.0,154.5,277.0,2100.0,300.0,500.0,5300.0
4Q3XF2JJ0100G9,4Q0YM76J0Q00FW,56.6,268.4,123.9,131.7,2300.0,500.0,600.0,6000.0
4Q3XF2JJ010054,4Q0YM76J0Q006W,205.9,379.4,164.0,270.9,2100.0,500.0,600.0,5600.0
4Q3XF2JJ010061,4Q0YM76J0Q002J,200.3,362.7,147.6,260.2,2300.0,600.0,600.0,5600.0
4Q3XF2JJ0100JV,4Q0YM76J0Q008M,230.8,428.9,190.6,305.0,2100.0,500.0,600.0,4400.0
4Q3XF2JJ01003B,4Q0YM76J0Q00FF,211.5,378.8,171.3,284.4,2200.0,300.0,500.0,5300.0
4Q3XF2JJ0100F1,4Q0YM76J0Q003M,251.9,416.8,188.3,285.4,1900.0,300.0,500.0,4700.0
4Q3XF2JJ01009D,4Q0YM76J0Q007V,224.6,380.5,166.9,277.2,2100.0,500.0,600.0,5300.0
4Q3XF2JJ01007V,4Q0YM76J0Q00B8,210.8,357.6,160.0,269.2,1900.0,300.0,500.0,4700.0
4Q3XF2JJ01006R,4Q0YM76J0Q00CG,240.3,408.3,173.0,285.4,2100.0,300.0,500.0,5400.0
4Q3XF2JJ01009Q,4Q0YM76J0Q00DS,200.3,349.6,148.8,270.9,2400.0,600.0,600.0,4400.0
4Q3XF2JJ00003F,4Q0YM76J0N009G,213.5,357.6,151.6,249.1,2400.0,600.0,600.0,4000.0
4Q3XF2JJ01001M,4Q0YM76J0Q007X,164.8,368.9,153.3,220.5,2100.0,500.0,600.0,4400.0
4Q3XF2JJ00003N,4Q0YM76J0Q009G,273.0,437.2,186.6,290.4,1900.0,300.0,500.0,4700.0
4Q3XF2JJ01003X,4Q0YM76J0Q0091,237.8,416.8,190.0,313.5,2100.0,500.0,600.0,4400.0
4Q3XF2JJ01006W,4Q0YM76J0Q0099,203.7,366.4,151.6,255.1,1900.0,500.0,600.0,6000.0
4Q3XF2JJ01008V,4Q0YM76J0Q00C2,245.4,438.0,186.6,304.5,2100.0,300.0,500.0,4800.0
4Q3XF2JJ010059,4Q0YM76J0Q008H,189.4,359.9,155.4,315.1,1500.0,300.0,500.0,3900.0
4Q3XF2JJ0100FB,4Q0YM76J0Q00B5,227.1,391.0,164.0,286.1,2100.0,300.0,500.0,5700.0
4Q3XF2JJ010005,4Q0YM76J0Q0040,213.8,391.0,168.0,282.3,2100.0,300.0,400.0,4400.0
4Q3XF2JJ01002D,4Q0YM76J0Q000R,228.8,399.5,169.6,306.5,2100.0,300.0,500.0,4400.0
4Q3XF2JHCY005N,4Q0YM76J0Q00B7,35.2,295.6,141.3,133.9,2000.0,400.0,600.0,4800.0
4Q3XF2JJ00006V,4Q0YM76J0Q007T,47.1,332.1,157.2,152.7,1900.0,300.0,500.0,4700.0
4Q3XF2JJ01004X,4Q0YM76J0Q0059,223.7,408.0,164.6,303.5,2100.0,500.0,600.0,4400.0
4Q3XF2JHCY003Y,4Q0YM76J0Q004K,42.3,342.6,161.2,146.0,2200.0,500.0,600.0,5900.0
4Q3XF2JJ0100G2,4Q0YM76J0Q001G,245.4,411.6,186.0,304.0,2400.0,600.0,600.0,4100.0
4Q3XF2JHCZ0008,4Q0YM76J0Q006B,89.1,303.0,145.9,149.9,2100.0,500.0,600.0,4900.0
4Q3XF2JJ02000T,4Q0YM76J0Q005G,202.9,381.4,164.6,280.8,2500.0,700.0,700.0,6000.0
4Q3XF2JJ01006P,4Q0YM76J0Q009J,214.7,381.4,165.7,279.1,2100.0,300.0,500.0,5500.0
4Q3XF2JJ01005X,4Q0YM76J0Q009K,232.2,401.2,164.0,268.9,2100.0,500.0,600.0,4800.0
4Q3XF2JJ0100DN,4Q0YM76J0Q0058,231.0,404.5,181.0,287.3,1900.0,300.0,500.0,4700.0
4Q3XF2JHCZ0010,4Q0YM76J0Q003F,120.3,324.8,149.9,185.7,2100.0,300.0,500.0,4400.0
4Q3XF2JJ000071,4Q0YM76J0Q00GC,38.1,314.0,156.0,149.9,2100.0,300.0,500.0,5100.0
4Q3XF2JJ01003K,4Q0YM76J0Q00C0,228.8,400.3,169.6,273.0,2100.0,300.0,500.0,4400.0
4Q3XF2JJ0100HL,4Q0YM76J0Q009B,232.2,394.4,165.7,274.0,2700.0,500.0,600.0,5100.0
4Q3XF2JJ01007Q,4Q0YM76J0Q00BR,219.4,369.7,158.9,263.4,2100.0,300.0,500.0,4400.0
4Q3XF2JHCZ0021,4Q0YM76J0Q00H7,65.7,340.6,167.5,160.0,2100.0,300.0,500.0,4400.0
4Q3XF2JJ01007L,4Q0YM76J0Q001X,258.4,423.0,188.3,315.4,2100.0,300.0,500.0,4400.0
4Q3XF2JJ01005V,4Q0YM76J0Q0085,236.4,400.6,167.5,287.6,1900.0,500.0,500.0,4400.0
4Q3XF2JJ00000T,4Q0YM76J0Q00BB,229.1,410.3,166.9,283.0,1900.0,300.0,500.0,4700.0
4Q3XF2JJ010007,4Q0YM76J0Q00BL,255.5,457.5,201.3,362.9,2100.0,500.0,600.0,4400.0
4Q3XF2JJ00001R,4Q0YM76J0Q001S,34.7,302.4,140.9,149.1,2100.0,300.0,500.0,4400.0
4Q3XF2JHCZ001D,4Q0YM76J0Q004M,140.4,349.1,168.6,157.8,2000.0,400.0,600.0,4600.0
4Q3XF2JJ0100BC,4Q0YM76J0Q0029,226.2,412.5,166.9,269.4,2100.0,300.0,500.0,4400.0
4Q3XF2JJ010040,4Q0YM76J0Q00CH,233.5,413.9,181.0,291.7,2100.0,300.0,500.0,4400.0
4Q3XF2JJ0100DL,4Q0YM76J0Q007W,200.9,365.8,157.2,265.6,2100.0,500.0,600.0,4400.0
4Q3XF2JJ010039,4Q0YM76J0Q00DB,234.1,396.6,180.5,282.5,1900.0,300.0,500.0,4400.0
4Q3XF2JJ0100GB,4Q0YM76J0Q007P,234.1,433.1,193.4,291.2,2100.0,500.0,600.0,4400.0
4Q3XF2JJ010048,4Q0YM76J0Q004T,228.5,433.4,175.9,326.1,2100.0,500.0,500.0,4400.0
4Q3XF2JJ000082,4Q0YM76J0N0088,228.2,404.8,168.0,280.1,2100.0,300.0,500.0,5000.0
4Q3XF2JJ0100CL,4Q0YM76J0Q005F,218.3,380.5,158.3,275.2,2100.0,400.0,500.0,5100.0
4Q3XF2JJ010085,4Q0YM76J0Q00GR,237.5,420.7,191.1,301.6,2400.0,600.0,600.0,4000.0
4Q3XF2JJ0100GT,4Q0YM76J0N008C,220.6,413.1,178.7,264.1,2100.0,300.0,500.0,4400.0
4Q3XF2JJ01007M,4Q0YM76J0Q00GF,193.6,362.7,147.0,262.4,2100.0,300.0,500.0,4400.0
4Q3XF2JJ020017,4Q0YM76J0Q001P,245.7,404.3,165.7,311.8,2400.0,600.0,600.0,4100.0
4Q3XF2JJ0100JT,4Q0YM76J0Q00C6,228.5,380.8,165.2,268.4,2100.0,300.0,500.0,4800.0
4Q3XF2JJ01007W,4Q0YM76J0Q0083,238.7,388.8,165.2,277.7,2100.0,300.0,600.0,5300.0
4Q3XF2JJ01006G,4Q0YM76J0Q00BS,156.1,342.0,144.7,254.4,2700.0,700.0,700.0,6000.0
4Q3XF2JJ010065,4Q0YM76J0Q007B,246.7,390.1,171.9,261.2,2100.0,500.0,600.0,4400.0
4Q3XF2JJ0100JB,4Q0YM76J0Q0086,235.5,445.4,199.5,302.5,2100.0,500.0,500.0,4400.0
4Q3XF2JJ000047,4Q0YM76J0Q009L,232.4,402.1,185.4,289.8,2300.0,700.0,700.0,5800.0
4Q3XF2JJ0100F4,4Q0YM76J0Q00D2,236.7,410.5,178.7,286.8,2100.0,300.0,500.0,4400.0
4Q3XF2JJ01008H,4Q0YM76J0N0085,176.9,362.4,145.3,257.1,2300.0,400.0,600.0,5700.0
4Q3XF2JJ00005D,4Q0YM76J0Q002B,205.4,378.5,157.7,260.0,2100.0,300.0,500.0,5500.0
4Q3XF2JJ01000L,4Q0YM76J0Q0049,217.3,365.5,155.1,261.2,2200.0,600.0,600.0,6000.0
4Q3XF2JJ01005Z,4Q0YM76J0Q00CB,227.6,392.1,169.6,287.1,2100.0,300.0,500.0,5200.0
4Q3XF2JJ0100G1,4Q0YM76J0Q00DF,251.9,415.1,185.4,280.3,2100.0,300.0,500.0,4400.0
4Q3XF2JJ00007G,4Q0YM76J0Q0050,164.8,357.9,175.9,216.7,2100.0,500.0,600.0,4400.0
4Q3XF2JJ00002S,4Q0YM76J0Q00FH,32.4,302.1,144.2,118.9,2400.0,600.0,600.0,5400.0
4Q3XF2JHCY0052,4Q0YM76J0Q0087,34.4,303.8,155.4,138.0,2400.0,700.0,700.0,5800.0
4Q3XF2JJ01000N,4Q0YM76J0Q004S,231.9,395.5,167.5,277.2,2100.0,300.0,500.0,5100.0
4Q3XF2JJ0100GJ,4Q0YM76J0N008F,215.8,402.1,165.2,295.8,2100.0,300.0,500.0,4400.0
4Q3XF2JJ000005,4Q0YM76J0Q0002,96.7,326.4,149.9,152.7,2700.0,800.0,700.0,6000.0
4Q3XF2JJ00006Z,4Q0YM76J0Q00GM,213.3,401.8,173.0,241.4,2100.0,500.0,600.0,4400.0
4Q3XF2JJ0100GW,4Q0YM76J0Q00HG,198.0,376.5,166.3,283.0,2100.0,500.0,600.0,4400.0
4Q3XF2JJ01007B,4Q0YM76J0Q009N,230.5,384.2,164.6,261.2,2400.0,700.0,700.0,6000.0
4Q3XF2JJ010049,4Q0YM76J0Q00C3,204.5,378.8,153.9,288.8,1900.0,300.0,400.0,4400.0
4Q3XF2JJ01001V,4Q0YM76J0Q009M,187.1,374.0,160.0,288.8,2300.0,600.0,600.0,5800.0
4Q3XF2JJ020005,4Q0YM76J0Q004N,230.2,401.2,176.4,281.8,2100.0,500.0,600.0,4400.0
4Q3XF2JJ0100DF,4Q0YM76J0Q003H,185.7,346.3,151.0,267.2,1900.0,300.0,500.0,5200.0
4Q3XF2JJ01001Z,4Q0YM76J0Q0093,215.5,348.2,147.6,258.1,2100.0,500.0,600.0,4800.0
4Q3XF2JHCZ0027,4Q0YM76J0Q00B0,154.4,349.6,164.0,175.1,2100.0,500.0,600.0,4400.0
4Q3XF2JJ00004G,4Q0YM76J0Q00C1,220.3,411.3,181.6,257.3,2100.0,300.0,500.0,4400.0
4Q3XF2JJ01005D,4Q0YM76J0Q0090,222.3,374.0,161.2,260.9,2100.0,500.0,600.0,4400.0
4Q3XF2JHCZ002Q,4Q0YM76J0Q0020,31.9,298.7,155.1,129.3,2100.0,300.0,500.0,4400.0
4Q3XF2JJ0100HZ,4Q0YM76J0Q00CT,223.4,374.6,168.0,301.6,2300.0,400.0,600.0,5500.0
4Q3XF2JJ01002N,4Q0YM76J0Q005J,239.2,398.0,165.7,271.6,1900.0,300.0,500.0,4700.0
4Q3XF2JJ0100FJ,4Q0YM76J0Q00GD,189.9,375.4,162.3,264.8,2100.0,300.0,500.0,4400.0
4Q3XF2JJ010022,4Q0YM76J0Q001V,206.5,402.6,177.6,273.5,2100.0,300.0,500.0,4400.0
4Q3XF2JJ010044,4Q0YM76J0Q002L,215.3,393.3,167.5,285.6,2100.0,300.0,500.0,4400.0
4Q3XF2JHCZ002S,4Q0YM76J0Q009H,110.2,364.1,160.6,184.2,2000.0,400.0,500.0,4200.0
4Q3XF2JJ01002K,4Q0YM76J0Q001F,204.5,380.5,151.0,286.1,2100.0,300.0,500.0,4800.0
4Q3XF2JHCY004F,4Q0YM76J0Q005C,35.0,284.8,129.5,130.3,2100.0,500.0,600.0,4400.0
4Q3XF2JHCY003Q,4Q0YM76J0Q00DW,38.9,313.4,148.8,136.3,2300.0,700.0,600.0,5600.0
4Q3XF2JJ010069,4Q0YM76J0Q00GG,255.5,405.4,184.3,300.9,2700.0,700.0,700.0,3600.0
4Q3XF2JJ01002M,4Q0YM76J0Q00DX,242.3,414.8,173.6,270.4,1700.0,300.0,500.0,3900.0
4Q3XF2JHCY0051,4Q0YM76J0Q00H1,97.3,333.5,158.3,165.1,2400.0,600.0,600.0,4300.0
4Q3XF2JJ01008D,4Q0YM76J0Q00CR,223.4,409.4,188.3,300.4,2100.0,300.0,500.0,4400.0
4Q3XF2JHCY005Z,4Q0YM76J0N009J,30.7,279.2,141.3,126.4,2700.0,700.0,700.0,6000.0
4Q3XF2JHCZ001Z,4Q0YM76J0Q002G,41.2,328.1,164.0,140.9,2100.0,300.0,500.0,4400.0
4Q3XF2JJ0100DY,4Q0YM76J0Q00HJ,188.5,386.2,161.2,303.8,1900.0,300.0,500.0,4700.0
4Q3XF2JJ010011,4Q0YM76J0N009T,222.0,389.8,174.2,281.0,2000.0,400.0,600.0,4900.0
4Q3XF2JJ000028,4Q0YM76J0Q00FX,52.4,307.5,145.3,148.9,2400.0,700.0,600.0,5400.0
4Q3XF2JJ00000J,4Q0YM76J0N00B1,31.0,301.5,160.0,124.9,2100.0,300.0,500.0,3900.0
4Q3XF2JJ010095,4Q0YM76J0Q000K,220.0,390.1,171.9,301.4,1900.0,300.0,500.0,4700.0
4Q3XF2JJ0100H4,4Q0YM76J0N00B6,184.8,361.8,152.2,257.6,2400.0,600.0,600.0,5200.0
4Q3XF2JJ0100CW,4Q0YM76J0Q009F,227.3,404.8,174.2,300.2,2100.0,500.0,500.0,4400.0
4Q3XF2JJ0100JQ,4Q0YM76J0Q003T,204.2,379.4,154.5,261.9,2100.0,300.0,500.0,4400.0
4Q3XF2JHCY005J,4Q0YM76J0Q008B,50.1,293.9,136.3,135.6,2100.0,500.0,600.0,4400.0
4Q3XF2JJ000046,4Q0YM76J0Q00GV,242.8,408.3,181.0,267.7,2400.0,600.0,600.0,4000.0
4Q3XF2JJ01008J,4Q0YM76J0N009M,225.1,382.2,170.1,268.4,2400.0,700.0,600.0,6000.0
4Q3XF2JHCY005P,4Q0YM76J0Q00DV,33.0,316.0,141.9,145.2,2200.0,600.0,500.0,4300.0
4Q3XF2JJ0100BH,4Q0YM76J0Q00BP,215.8,365.2,143.0,270.4,2500.0,500.0,700.0,5200.0
4Q3XF2JHCZ002J,4Q0YM76J0Q00BV,262.0,464.9,204.7,335.0,1900.0,300.0,400.0,4200.0
4Q3XF2JHCY004M,4Q0YM76J0Q00FV,229.6,428.1,191.7,294.4,2700.0,700.0,700.0,4800.0
4Q3XF2JJ0100B5,4Q0YM76J0Q00FT,238.4,396.9,178.7,298.7,2400.0,600.0,600.0,5200.0
4Q3XF2JJ00001N,4Q0YM76J0Q00F2,40.1,306.3,151.6,143.6,2500.0,700.0,600.0,5400.0
4Q3XF2JJ02001T,4Q0YM76J0N002X,200.0,382.0,168.6,285.4,2200.0,500.0,600.0,4900.0
4Q3XF2JJ010080,4Q0YM76J0N0094,193.0,354.1,157.7,256.3,2600.0,800.0,700.0,6000.0
4Q3XF2JJ00000N,4Q0YM76J0N0048,212.7,405.1,178.2,279.6,2000.0,400.0,500.0,4900.0
4Q3XF2JJ0100D6,4Q0YM76J0N003D,207.9,358.4,149.9,280.1,2500.0,700.0,700.0,6000.0
4Q3XF2FJ060130,4Q0YM77J0T00C1,274.6,397.7,191.1,242.8,1400.0,300.0,500.0,3900.0
4Q3XF2FJ08007P,4Q0YM77J0T00DQ,249.0,367.8,183.7,240.6,1600.0,300.0,600.0,4300.0
4Q3XF2FJ08004Y,4Q0YM77J0T00FF,221.2,343.4,171.9,215.2,1600.0,300.0,500.0,4600.0
4Q3XF2FJ08005L,4Q0YM77J0Q001M,229.1,342.0,179.3,200.4,2000.0,400.0,700.0,5100.0
4Q3XF2FJ08007M,4Q0YM77J0Q000N,239.7,370.3,183.7,230.7,1600.0,200.0,400.0,4100.0
4Q3XF2FJ080085,4Q0YM77J0T00F9,219.7,349.1,184.3,225.8,1400.0,300.0,500.0,3900.0
4Q3XF2FJ08005M,4Q0YM77J0Q001H,227.1,348.2,184.8,216.0,1800.0,300.0,500.0,4600.0
4Q3XF2FJ08007L,4Q0YM77J0Q000F,229.9,373.2,171.9,252.0,1400.0,300.0,500.0,3600.0
4Q3XF2FJ080055,4Q0YM77J0T00BH,255.2,362.1,182.2,200.2,1800.0,300.0,600.0,4800.0
4Q3XF2FJ08005R,4Q0YM77J0T00DR,270.7,372.3,180.5,219.3,1500.0,300.0,500.0,4300.0
4Q3XF2FJ08006B,4Q0YM77J0Q0016,269.9,367.8,192.3,238.2,1400.0,300.0,500.0,3900.0
4Q3XF2FJ080051,4Q0YM77J0T00D5,290.4,405.1,206.4,298.9,1400.0,300.0,500.0,3900.0
4Q3XF2FJ080080,4Q0YM77J0T00B7,236.9,343.1,171.9,238.2,1500.0,300.0,500.0,3900.0
4Q3XF2FJ08006H,4Q0YM77J0T007V,246.0,387.3,193.4,222.2,1500.0,200.0,400.0,3500.0
4Q3XF2JJ00007W,4Q0YM76J0Q008S,83.5,361.5,167.5,158.8,1900.0,400.0,500.0,4400.0
4Q3XF2FJ080059,4Q0YM77J0Q000X,255.8,383.6,192.9,255.9,1400.0,300.0,500.0,3800.0
4Q3XF2FJ080056,4Q0YM77J0Q0019,232.2,331.6,169.2,199.7,1800.0,300.0,500.0,4600.0
4Q3XF2FJ08007J,4Q0YM77J0Q000W,263.1,360.7,196.9,229.3,1600.0,300.0,500.0,4200.0
4Q3XF2FJ08005Z,4Q0YM77J0Q000Q,256.6,388.8,202.4,234.6,1600.0,200.0,400.0,4100.0
4Q3XF2FJ080061,4Q0YM77J0Q000J,270.7,375.7,192.3,247.7,1800.0,300.0,500.0,4600.0
4Q3XF2FJ080083,4Q0YM77J0T00FM,283.1,389.8,189.4,244.7,1600.0,300.0,500.0,4100.0
