lv-R,lv-G,lv-B,lv-W,mix_W_2000_r_ratio_current,mix_W_2000_g_ratio_current,mix_W_2000_b_ratio_current,w_4000_current
37.5,327.8,160.6,172.4,2100.0,500.0,500.0,4400.0
268.2,426.9,180.5,262.2,1700.0,300.0,500.0,4700.0
131.3,309.8,140.4,173.1,2100.0,600.0,600.0,5900.0
214.7,354.1,161.2,252.3,1700.0,300.0,500.0,4200.0
221.2,383.3,170.1,260.7,2100.0,500.0,600.0,4400.0
238.4,386.2,174.2,250.8,2100.0,300.0,500.0,4900.0
212.4,381.1,172.4,269.9,2100.0,500.0,600.0,4400.0
232.2,406.8,168.0,296.3,2100.0,500.0,600.0,4400.0
38.9,376.5,176.4,161.0,2100.0,300.0,500.0,4400.0
214.4,365.5,151.6,257.3,2400.0,700.0,600.0,5700.0
224.0,399.5,164.0,290.9,2100.0,600.0,600.0,4400.0
239.2,417.5,171.3,292.4,2100.0,500.0,600.0,4400.0
30.2,280.9,145.3,138.0,2000.0,400.0,600.0,4900.0
233.0,406.3,183.3,284.9,2100.0,500.0,600.0,4400.0
33.0,325.1,164.0,140.2,2400.0,600.0,600.0,4700.0
61.2,342.6,168.0,153.7,2000.0,400.0,600.0,4900.0
235.0,412.8,173.0,293.9,2100.0,500.0,600.0,4400.0
235.8,406.0,170.7,277.9,2100.0,500.0,600.0,4400.0
49.3,321.3,151.0,145.7,2100.0,500.0,600.0,5300.0
78.6,369.2,166.9,170.7,1900.0,300.0,500.0,4700.0
245.1,415.1,174.7,297.2,1900.0,300.0,500.0,5100.0
48.5,341.1,169.2,171.9,1900.0,300.0,500.0,5200.0
208.8,378.5,160.0,272.3,2100.0,300.0,500.0,4400.0
243.4,460.6,187.1,317.1,1900.0,300.0,500.0,4300.0
111.6,351.1,169.6,162.5,1900.0,300.0,500.0,4400.0
265.7,444.8,199.5,329.2,1900.0,300.0,500.0,4700.0
176.6,342.9,151.6,207.0,2100.0,500.0,600.0,4900.0
238.4,399.5,160.0,263.4,2100.0,500.0,600.0,4400.0
241.7,412.2,177.6,284.2,2100.0,300.0,500.0,4800.0
237.2,410.3,163.5,347.8,1800.0,300.0,500.0,4400.0
203.7,371.7,150.5,279.6,2300.0,700.0,700.0,5900.0
56.3,310.3,138.6,141.9,2100.0,500.0,600.0,4800.0
215.5,385.3,154.5,285.9,1900.0,300.0,600.0,5100.0
218.6,376.8,157.7,284.2,2100.0,600.0,600.0,5500.0
34.4,323.1,149.3,150.1,2100.0,300.0,500.0,4400.0
222.9,396.9,160.6,300.9,2100.0,300.0,500.0,4400.0
209.1,390.1,174.7,261.4,2100.0,300.0,500.0,4400.0
231.9,379.1,164.0,260.2,2100.0,300.0,500.0,4900.0
189.9,354.7,150.5,237.7,2100.0,300.0,500.0,4800.0
52.7,358.7,179.3,161.2,2400.0,600.0,500.0,4100.0
228.2,401.8,174.7,285.9,2100.0,500.0,600.0,4400.0
203.7,376.2,157.2,266.2,2100.0,500.0,600.0,4800.0
217.8,397.5,165.2,379.8,2100.0,500.0,600.0,4400.0
241.4,430.1,200.1,315.4,1900.0,400.0,500.0,4400.0
213.8,399.5,155.1,294.6,2400.0,600.0,600.0,5000.0
205.4,388.5,157.2,297.2,2100.0,300.0,500.0,4400.0
235.8,416.2,173.6,270.4,2100.0,300.0,500.0,4800.0
235.0,409.1,170.1,287.3,2100.0,300.0,500.0,4400.0
233.5,418.1,187.1,298.9,1900.0,300.0,500.0,4700.0
229.1,424.1,181.6,339.8,2100.0,500.0,500.0,4400.0
227.9,415.1,173.0,292.7,2100.0,500.0,600.0,4800.0
206.5,403.7,170.1,291.2,2100.0,300.0,500.0,4400.0
49.9,327.0,157.7,150.1,2400.0,600.0,600.0,5800.0
205.6,380.0,154.5,277.0,2100.0,300.0,500.0,5300.0
56.6,268.4,123.9,131.7,2300.0,500.0,600.0,6000.0
205.9,379.4,164.0,270.9,2100.0,500.0,600.0,5600.0
200.3,362.7,147.6,260.2,2300.0,600.0,600.0,5600.0
230.8,428.9,190.6,305.0,2100.0,500.0,600.0,4400.0
211.5,378.8,171.3,284.4,2200.0,300.0,500.0,5300.0
251.9,416.8,188.3,285.4,1900.0,300.0,500.0,4700.0
224.6,380.5,166.9,277.2,2100.0,500.0,600.0,5300.0
210.8,357.6,160.0,269.2,1900.0,300.0,500.0,4700.0
240.3,408.3,173.0,285.4,2100.0,300.0,500.0,5400.0
200.3,349.6,148.8,270.9,2400.0,600.0,600.0,4400.0
213.5,357.6,151.6,249.1,2400.0,600.0,600.0,4000.0
164.8,368.9,153.3,220.5,2100.0,500.0,600.0,4400.0
273.0,437.2,186.6,290.4,1900.0,300.0,500.0,4700.0
237.8,416.8,190.0,313.5,2100.0,500.0,600.0,4400.0
203.7,366.4,151.6,255.1,1900.0,500.0,600.0,6000.0
245.4,438.0,186.6,304.5,2100.0,300.0,500.0,4800.0
189.4,359.9,155.4,315.1,1500.0,300.0,500.0,3900.0
227.1,391.0,164.0,286.1,2100.0,300.0,500.0,5700.0
213.8,391.0,168.0,282.3,2100.0,300.0,400.0,4400.0
228.8,399.5,169.6,306.5,2100.0,300.0,500.0,4400.0
35.2,295.6,141.3,133.9,2000.0,400.0,600.0,4800.0
47.1,332.1,157.2,152.7,1900.0,300.0,500.0,4700.0
223.7,408.0,164.6,303.5,2100.0,500.0,600.0,4400.0
